Episode,Station_Reward,Car_Reward,Station_Reward_Smooth,Car_Reward_Smooth
0,-0.3748472061312783,-0.3998276488855275,-0.3748472061312783,-0.3998276488855275
1,-0.341595200312354,-0.3812522443832069,-0.35822120322181616,-0.3905399466343672
2,-0.3397773420083167,-0.37446101435561074,-0.35207324948398305,-0.3851803025414484
3,-0.34072627219391227,-0.3638467110958548,-0.3492365051614653,-0.37984690468005
4,-0.3171888639384273,-0.3611569955859308,-0.3428269769168577,-0.37610892286122616
5,-0.32058970925121966,-0.35936139828572466,-0.3391207656392514,-0.37331766876530925
6,-0.3069744053569832,-0.35120349720965655,-0.3345284284560702,-0.370158501400216
7,-0.30651233982240983,-0.3503391930566956,-0.33102641737686267,-0.36768108785727593
8,-0.3030060808260048,-0.3490065873108069,-0.32791304664898957,-0.3656061433521127
9,-0.30070995635596354,-0.343207403570337,-0.3251927376196869,-0.3633662693739351
10,-0.2858281392370116,-0.3385498557882743,-0.3216141377667165,-0.3611102317752387
11,-0.2908314157820395,-0.34101595480469854,-0.3190489109346601,-0.3594357086943603
12,-0.2907371598742739,-0.3316505513147878,-0.31687108393001495,-0.3572983888959317
13,-0.2867809991793143,-0.33161233137254176,-0.3147217921621078,-0.35546367050140387
14,-0.28740810620772994,-0.32922799677197057,-0.3129008797651493,-0.3537146255861083
15,-0.2843617046275185,-0.3252040581080094,-0.31111718131904736,-0.3519327151187271
16,-0.2705392168695976,-0.3208121670043659,-0.3087302422337856,-0.35010209464141173
17,-0.27499838844500396,-0.321920395243236,-0.30685625035663106,-0.3485364446748464
18,-0.2809280144549986,-0.32082888891689776,-0.3054916063618083,-0.3470781522665333
19,-0.26983135437227085,-0.31806343341984666,-0.30370859376233145,-0.345627416324199
20,-0.2657193988160053,-0.31805181737881105,-0.30189958447917303,-0.3443142925648948
21,-0.26234323429027423,-0.3110914383637048,-0.30010156856149584,-0.3428041628284771
22,-0.26362183371323006,-0.31063217368118484,-0.29851549313331033,-0.3414053806916383
23,-0.2535867544049664,-0.3109413719539001,-0.2966434623529627,-0.34013604699423255
24,-0.26797483595023486,-0.3085153764329829,-0.29549671729685356,-0.33887122017178256
25,-0.24611683917828792,-0.30255438078342733,-0.29359749121537027,-0.3374744186568458
26,-0.2542677694934199,-0.3048834989916541,-0.29214083485529807,-0.336267347558135
27,-0.24531751421499873,-0.2977337815969222,-0.2904685734038588,-0.334891148773806
